"subject" "activity" "ccmean()x" "ccmean()y" "ccmean()z" "ravityaccmean()x" "ravityaccmean()y" "ravityaccmean()z" "ccjerkmean()x" "ccjerkmean()y" "ccjerkmean()z" "yromean()x" "yromean()y" "yromean()z" "yrojerkmean()x" "yrojerkmean()y" "yrojerkmean()z" "ccmagmean()" "ravityaccmagmean()" "ccjerkmagmean()" "yromagmean()" "yrojerkmagmean()" "ccmeanfreq()x" "ccmeanfreq()y" "ccmeanfreq()z" "ccjerkmeanfreq()x" "ccjerkmeanfreq()y" "ccjerkmeanfreq()z" "yromeanfreq()x" "yromeanfreq()y" "yromeanfreq()z" "ccmagmeanfreq()" "ccjerkmagmeanfreq()" "yromagmeanfreq()" "yrojerkmagmeanfreq()" "ccstd()x" "ccstd()y" "ccstd()z" "ravityaccstd()x" "ravityaccstd()y" "ravityaccstd()z" "ccjerkstd()x" "ccjerkstd()y" "ccjerkstd()z" "yrostd()x" "yrostd()y" "yrostd()z" "yrojerkstd()x" "yrojerkstd()y" "yrojerkstd()z" "ccmagstd()" "ravityaccmagstd()" "ccjerkmagstd()" "yromagstd()" "yrojerkmagstd()"
"1" "test" "LAYING" 0.267227589560521 -0.0182456228329236 -0.108134996675233 -0.385937754614525 0.594350912979516 0.503317463620112 0.0825682671290503 0.0107112016761881 -0.00364736361863873 -0.0166314081294004 -0.0979956312043575 0.122576525847486 -0.101457328947858 -0.03801389731527 -0.0634655948080075 -0.961578850614525 -0.961578850614525 -0.979577853575419 -0.945435104413408 -0.981573659888268 -0.246729149943358 0.191441281109311 0.24192313277879 0.113484452241371 0.0292877141456797 0.0765647510680819 0.00794820082000745 -0.119523630232216 0.112908596725456 0.162555931626685 0.276393066501602 0.0138165208314339 0.172412084043203 -0.964750344692737 -0.958961259925512 -0.964927132290503 -0.947827229962756 -0.979253784934823 -0.973531121975791 -0.980256750707635 -0.972278279683426 -0.979848204692737 -0.974575194841713 -0.962547564208566 -0.968943417318436 -0.977778340986965 -0.977947653873371 -0.985304182718808 -0.949805818519553 -0.949805818519553 -0.974610375400372 -0.94755611895717 -0.975261643500931
"2" "train" "LAYING" 0.26919100708877 -0.0183452479771855 -0.107168709636461 -0.370854938686567 0.632926187069652 0.57557155056091 0.0815722575616205 0.0113483623410661 -0.00532249999608209 -0.0167611908027991 -0.091660815198081 0.127147917707889 -0.102019624959062 -0.0382683832088763 -0.0639964642257285 -0.933298701817342 -0.933298701817342 -0.979067883653163 -0.935764661371713 -0.983166670739161 -0.264202929041037 0.12457473152693 0.1884027955385 0.102008711782836 -0.00447192563333404 0.067441959708236 -0.0271580759273205 -0.14689946168204 0.113421892575601 0.0985476981401137 0.282917208316915 -0.0458462007158778 0.163177107575928 -0.959475238302061 -0.937608935448472 -0.941635287283866 -0.941599380704335 -0.957061403069012 -0.943600986262971 -0.980429538464819 -0.970716016723525 -0.979334766545842 -0.965341869218906 -0.963438605707178 -0.961435198422175 -0.975493723411514 -0.981437634278607 -0.984583429004975 -0.925425270312722 -0.925425270312722 -0.974099433837953 -0.937939730744847 -0.977324912189055
"3" "test" "SITTING" 0.272039760352342 -0.0141221515132994 -0.102730909698778 0.9028616299389 0.071857995734034 0.131904738775356 0.076153849587169 0.00523557345498982 -0.00410731471661263 -0.0400046946661914 -0.0703346296040733 0.0759514418063747 -0.0948832319185336 -0.0412598892004073 -0.0493232638925051 -0.953534394704684 -0.953534394704684 -0.981076791425662 -0.944897951527495 -0.986915690997963 -0.0106464478125458 0.0351429777236253 0.0701454142950356 0.18600175734389 -0.0743992308852138 -0.00780420978716904 0.0518606610295519 -0.216900663478411 -0.0588909067697556 0.100739377475153 0.29065200371501 -0.0927008797590428 0.189491062636741 -0.983437472749491 -0.9314033418778 -0.938215184142566 -0.981298906069246 -0.957728709456212 -0.947828792947047 -0.983563065824847 -0.971875152668024 -0.981694772077393 -0.980391992382892 -0.967761899022403 -0.955691205600815 -0.983401234236253 -0.986105054114053 -0.982864892851324 -0.9392153100611 -0.9392153100611 -0.977510406741344 -0.952093296334012 -0.983877373299389
"4" "train" "SITTING" 0.273448998825428 -0.0121426088459798 -0.106580744993313 0.870899899300156 0.122785136286184 0.162123894662294 0.0757738529781182 0.00497487103109658 -0.00186788827412442 -0.0378305948293904 -0.0728027807545334 0.0784742074521695 -0.0959456649824261 -0.0405964730900187 -0.0513023722602862 -0.955067543234837 -0.955067543234837 -0.982966618413686 -0.94742138466563 -0.988248275785381 -0.0548556095924417 0.0768184554284059 0.0841748181244627 0.184637359191327 -0.0521682789217263 0.00711987425893235 0.066688114386944 -0.218458883941454 0.00493588377293157 0.119208592354555 0.277951586004961 -0.0702309121649533 0.173251449137519 -0.983449562153966 -0.936208179940381 -0.939274193888803 -0.979064977083981 -0.957651371119751 -0.947177473594868 -0.985544794618974 -0.974649826034215 -0.982526224152411 -0.981262834082426 -0.966305793009331 -0.958891866041991 -0.98658476348367 -0.986654023623639 -0.984164647052877 -0.939365758525816 -0.939365758525816 -0.9794403344479 -0.950857575620529 -0.984886442970451
"5" "test" "STANDING" 0.278791235789474 -0.0162262731035301 -0.10466868287406 0.943091097537594 -0.189637522767538 0.0204009151990789 0.075468957712782 0.00888523101716541 -0.00641548605615977 -0.0276270984325752 -0.0719404272818233 0.0836650240665414 -0.100461129155075 -0.0419899598712406 -0.0528522741647744 -0.947440893270677 -0.947440893270677 -0.972931858515038 -0.929095799830827 -0.973808504699248 0.0383358453028008 -0.0516839317393045 0.0279234111547744 0.201028505532481 -0.15015673537797 0.0142848080828008 -0.257545400482613 -0.236036350127876 -0.122110824197009 0.0150691059552444 0.224406711531579 -0.212637017544925 0.0605729721572744 -0.982080518496241 -0.923457376973684 -0.933595536629699 -0.987356506654135 -0.96572940268797 -0.947266767753759 -0.975695739736842 -0.958496662406015 -0.976671984022556 -0.931444571390977 -0.953936289642857 -0.949165841541353 -0.960413190958647 -0.975663792180451 -0.972075062631579 -0.940038000263158 -0.940038000263158 -0.966123790845865 -0.91301937112782 -0.966851556766917
"6" "train" "STANDING" 0.279293757074236 -0.0161230846636681 -0.10732962785709 0.940855692081514 -0.182159165492402 -0.0273917941389855 0.07485715063377 0.00877429407298399 -0.00387217635462227 -0.0263231980185808 -0.0660746057299709 0.0787782501328239 -0.0994459157848617 -0.0424437794962882 -0.0518025512964192 -0.95678885018195 -0.95678885018195 -0.978738869002911 -0.947207964796215 -0.980589908020378 0.0067911345134687 -0.0261460111634789 0.0619700524750218 0.203624571628353 -0.124820871733421 0.00376355048693595 -0.215859370847846 -0.208259271266361 -0.0795498188794178 0.0614368297577918 0.261669016344236 -0.172502975983245 0.0942707017005167 -0.985346233195051 -0.936013307409025 -0.942359763042212 -0.988270207540029 -0.970754316870451 -0.955334333173217 -0.981622950225619 -0.96660630371179 -0.980575465705968 -0.950981475866084 -0.96414183628821 -0.960106905407569 -0.969492009825327 -0.98204418555313 -0.978999994272198 -0.949050271871907 -0.949050271871907 -0.973516388609898 -0.935924401841339 -0.976113861921397
"7" "test" "WALKING" 0.276526397258064 -0.018250712002498 -0.108875750766129 0.939130584415323 -0.189780957912097 -0.0264384787160887 0.0731737339316129 0.00998238899389113 0.00123049294354839 -0.0433151675165726 -0.0647420858230101 0.0917220728034476 -0.0878835560618952 -0.0452121990068548 -0.0579666753374798 -0.185612933587746 -0.185612933587746 -0.237173351544978 -0.318522629716532 -0.486469326477823 -0.248520596039315 0.0695656997551613 0.0919218730086109 -0.23815935332504 -0.346929288188125 -0.229917588557883 -0.0604274944165524 -0.0696944825740524 -0.0454257175669758 0.246535948386573 0.0936747402477016 0.203584895763851 0.16388942284877 -0.319595856634677 -0.031767626453629 -0.342244602873911 -0.977866512903226 -0.967576257318548 -0.959918772116935 -0.230634921260282 -0.0986195505663911 -0.521739457217742 -0.49123325066129 -0.40313354348629 -0.382048326903226 -0.413270422316532 -0.536563346574597 -0.463647341954839 -0.355577474335887 -0.355577474335887 -0.198067072712843 -0.436169354776008 -0.525913731689919
"8" "train" "WALKING" 0.276260200872757 -0.0177677108511182 -0.108884089505465 0.933317070057096 -0.199518178897227 -0.0649048773550457 0.0781529317778793 0.0121226741316897 -0.00375555256860604 -0.0312533147691762 -0.0713125942324959 0.0841943988581277 -0.0968968860162643 -0.0443103427345922 -0.0524042952439478 -0.16078708767832 -0.16078708767832 -0.243182988691175 -0.257203964799315 -0.450009825369331 -0.302368465272757 0.044701989027721 0.0680922608795734 -0.266572265205873 -0.35778634622031 -0.245043249244543 -0.0707009641699592 -0.110087867172912 -0.0830021343186297 0.159285968600769 0.0706950272652586 0.146866932989706 0.117421236499339 -0.312641276860938 -0.0202716892534421 -0.246279194916452 -0.977509136933116 -0.966631852120718 -0.952444776696574 -0.282116881167088 -0.104970427937531 -0.461915637480408 -0.461290098708157 -0.325584920802455 -0.32080957637553 -0.361232566109217 -0.502931986096003 -0.440865118262072 -0.33054317771252 -0.33054317771252 -0.22122673901031 -0.36096832426354 -0.487888281890326
"9" "test" "WALKING_DOWNSTAIRS" 0.288062900461905 -0.0161751510247702 -0.105529914174286 0.931437114714286 -0.171822241287476 -0.038043391203381 0.0916206223598452 -0.00322121589102381 -0.00838420495773809 -0.101341612095476 -0.0461447231649762 0.0964457295442619 -0.0695720976611905 -0.0496904002757143 -0.0588719525257143 0.0164621317664286 0.0164621317664286 -0.163692387624738 -0.188907287860786 -0.463187856659524 -0.401317169070952 0.0184253982163571 0.0924641444930191 -0.306428802564524 -0.367165072502881 -0.251991375305 -0.146182511165952 -0.0212667596438095 0.00483125885961905 0.0232123926340833 0.0110669771928643 0.0696012116396357 0.0873987199295 0.00902022030214286 0.0134523978078571 -0.243477099060119 -0.951956040880952 -0.933501819642857 -0.919091320238095 -0.0941815286700238 -0.101380895052357 -0.424200745914286 -0.373429876892857 -0.418157975061905 -0.299487958953952 -0.403089544085476 -0.515669184902381 -0.344353104702143 0.0504083176412857 0.0504083176412857 -0.0450688652907857 -0.308151790967905 -0.464553224377857
"10" "train" "WALKING_DOWNSTAIRS" 0.288168888475659 -0.0163701864217556 -0.105860325152107 0.924336230375254 -0.167095144852028 -0.0521996569589989 0.0882069647409736 0.00243695730748479 -0.00887530540913793 -0.0766623641270639 -0.0559099218163377 0.0939252913958722 -0.0742508688621095 -0.0519342665009533 -0.052917414205284 0.137366108163682 0.137366108163682 -0.0896983345591278 -0.104601976301298 -0.397171015459939 -0.39946684501572 -0.0069884992618357 0.0924102328817039 -0.318567349401623 -0.394086175110345 -0.231188603351369 -0.18016869468143 -0.0538052977768661 -0.02885430503036 0.025813453780355 0.0239055378803245 0.0661383641365012 0.099319923964717 0.139846824303926 0.079183931731927 -0.168367906550132 -0.948808651206897 -0.934591624918864 -0.909636090415821 -0.0081975248379716 -0.0618724537659239 -0.373529594680882 -0.316944038169878 -0.306181913257404 -0.26144603615071 -0.374000213890974 -0.444762616614097 -0.318832476117718 0.144636835872059 0.144636835872059 0.00319743123002028 -0.227265452316329 -0.430866415856653
